NR,C,13|NAME,C,30|ZUSATZ,C,254|ZUSATZNR,C,11|EINHEIT,C,8|PREISA,C,10|SOPREISA,C,10|PREISB,C,10|SOPREISB,C,10|TEXT,C,254|TEXT_2,C,254|TEXT_3,C,254|TEXT_4,C,254|TEXT2,C,254|TEXT2_2,C,254|TEXT2_3,C,254|TEXT2_4,C,254|TEXT3,C,254|TEXT3_2,C,254|TEXT3_3,C,254|TEXT3_4,C,254|EAN,C,13|MHD,C,10|HALTBTAGE,C,3|GRAFIK,C,254|GRAFIK2,C,254|VKGEWICHT,C,8|KGPREISA,C,25|KGPREISB,C,25|BPTEXT1,C,254|BPTEXT1_2,C,254|BPTEXT1_3,C,254|BPTEXT1_4,C,254|BPTEXT2,C,254|BPTEXT2_2,C,254|BPTEXT2_3,C,254|BPTEXT2_4,C,254|BPTEXT3,C,254|BPTEXT3_2,C,254|BPTEXT3_3,C,254|BPTEXT3_4,C,254|BPTEXT4,C,254|BPTEXT4_2,C,254|BPTEXT4_3,C,254|BPTEXT4_4,C,254|BPTEXT5,C,254|BPTEXT5_2,C,254|BPTEXT5_3,C,254|BPTEXT5_4,C,254|BPTEXT6,C,254|BPTEXT6_2,C,254|BPTEXT6_3,C,254|BPTEXT6_4,C,254|BPTEXT7,C,254|BPTEXT7_2,C,254|BPTEXT7_3,C,254|BPTEXT7_4,C,254|BPTEXT8,C,254|BPTEXT8_2,C,254|BPTEXT8_3,C,254|BPTEXT8_4,C,254|BPTEXT9,C,254|BPTEXT9_2,C,254|BPTEXT9_3,C,254|BPTEXT9_4,C,254|BPTEXT10,C,254|BPTEXT10_2,C,254|BPTEXT10_3,C,254|BPTEXT10_4,C,254|LINKARTIK,C,30|LINKPREIS,C,10|KJ,C,10|KCAL,C,10|EIWEISS,C,10|FETT,C,10|KOHLENHYDR,C,10|GESFETTSAE,C,10|ZUCKER,C,10|BALLASTSTO,C,10|KOCHSALZ,C,10|BEINHEITEN,C,10|GRAMMBE,C,10|ALLERGENE,C,254
87a|*Ciabatta Olive bio|||Stück|3,750|0,000|3,750|0,000|Weizenauszugsmehl 550, Wasser*, Roggenschrot-Sauerteig, Poolish (Weizenauszugsmehl 550/Roggenauszugsmehl 1150), Olivenöl, Biorealhefe, Meersalz*, schwarze Oliven|||||||||||||15.07.2020||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
87b|*Ciabatta Tomate bio|||Stück|3,750|0,000|3,750|0,000|Weizenauszugsmehl 550, Wasser*, Roggenschrot-Sauerteig, Poolish (Weizenauszugsmehl 550/Roggenauszugsmehl 1150), Olivenöl, Biorealhefe, Meersalz*, getrocknete Tomaten|||||||||||||15.07.2020||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
87c|*Ciabatta Zwiebel bio|||Stück|3,750|0,000|3,750|0,000|Weizenauszugsmehl 550, Wasser*, Roggenschrot-Sauerteig, Poolish (Weizenauszugsmehl 550/Roggenauszugsmehl 1150), Olivenöl, Biorealhefe, Meersalz*, gehackte Zwiebeln, getrocknete Röstzwiebeln|||||||||||||15.07.2020||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
87d|*Ciabatta Bärlauch bio|||Stück|3,750|0,000|3,750|0,000|Weizenauszugsmehl 550, Wasser*, Roggenschrot-Sauerteig, Poolish (Weizenauszugsmehl 550/Roggenauszugsmehl 1150), Olivenöl, Biorealhefe, Meersalz*, Bärlauch|||||||||||||15.07.2020||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
88|*Häschenköpfe-Dinkel bio|||Stück|2,200|0,000|2,200|0,000|Dinkelauszugsmehl 630, Hefe, Puderzucker, Milch, Butter, Eier, Salz, abgeriebene Zitronenschale, Rosinen, Mandelstifte||||VK-Dinkelapfellküchla|||||||||15.07.2020||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
89|Kopenhagener|||Stück|1,500|0,000|1,500|0,000||||||||||||||15.07.2020||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
89a|Kopenhagener mit Pudding|||Stück|1,500|0,000|1,500|0,000||||||||||||||15.07.2020||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
89b|Kopenhagener Teigling|||Stück|0,710|0,000|0,710|0,000||||||||||||||15.07.2020||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
90|Laugenbrötchen|||Stück|0,850|0,000|0,850|0,000||||||||||||||15.07.2020||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
90k|Laugenbrötchen klein|||Stück|0,500|0,000|0,500|0,000||||||||||||||15.07.2020||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
91|Tellerstücke|||Stück|1,050|0,000|1,050|0,000||||||||||||||15.07.2020||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
91a|Piroggen|||Stück|1,050|0,000|1,050|0,000||||||||||||||15.07.2020||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
92|Partybrötchen dunkel|||Stück|0,400|0,000|0,400|0,000||||||||||||||15.07.2020||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
93|Nougattaler|||Stück|1,600|0,000|1,600|0,000||||||||||||||15.07.2020||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
94|Hot Dogs|||Stück|0,500|0,000|0,500|0,000||||||||||||||15.07.2020||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
94a|Hot Dogs Bratwurst|||Stück|0,600|0,000|0,600|0,000||||||||||||||15.07.2020||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
95|Weltmeisterbrötchen,salzarm|||Stück|0,650|0,000|0,650|0,000||||||||||||||15.07.2020||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
96|Donauwelle|||Stück|1,500|0,000|1,500|0,000||||||||||||||15.07.2020||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
97|Pizzabrötchen|||Stück|1,000|0,000|1,000|0,000|Weizenmehl, Salz, Brötchenbackmittel, Weizenkleber, Hefe, Kuchensuper, Wasser, Pizzagewürz, Paprika|||||||||||||15.07.2020||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
97a|*Pizzabrötchen bio|||Stück|1,700|0,000|1,700|0,000||||||||||||||15.07.2020||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
97b|Pizzabrötchen halbgebacken|||Stück|1,000|0,000|1,000|0,000|Weizenmehl, Salz, Brötchenbackmittel, Weizenkleber, Hefe, Kuchensuper, Wasser, Pizzagewürz, Paprika|||||||||||||15.07.2020||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
98|Schnittbrot (dunkel)|||Stück|1,700|0,000|1,700|0,000||||||||||||||15.07.2020||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
99|Schnittbrot (hell)|||Stück|1,900|0,000|1,900|0,000||||||||||||||15.07.2020||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
99a| Schnittbrot (misch)|||Stück|1,900|0,000|1,900|0,000||||||||||||||15.07.2020||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
100|Tortenboden hell|||Stück|4,650|0,000|4,650|0,000||||||||||||||15.07.2020||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
100a|*Tortenboden bio|||Stück|9,450|0,000|9,450|0,000||||||||||||||15.07.2020||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
100b|*Dinkeltortenboden hoch bio|||Stück|9,800|0,000|9,800|0,000||||||||||||||15.07.2020||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
101|*Mohnbrötchen bio|||-|0,650|0,000|0,650|0,000|Weizenvollkornmehl, pflanzl. Margarine, Mohn, Bioreal-Hefe, Meersalz*||||Mohnbrötchen|||||||||15.07.2020||||70 g|9,286|0,929|WEIZENVOLLKORNMEHL BIO; Wasser; Bio-Realhefe bio; Margarine bio; Salz||||Ø je 100 g:  Energie: 1041 kJ / 249 kcal  /  Fett: 3,3 g  /  davon ges. Fettsäuren: 1,2 g  /  Kohlenhydrate: 42,0 g  /  davon Zucker: 0,5 g  /  Ballaststoffe: 7,6 g  /  Eiweiß: 8,2 g  /  Salz: 1,8 g  /  Broteinheiten (BE): 3,5  /  1 BE entspricht: 29 g||||"Enthaltene Allergene: Glutenhaltige Getreide (Weizen).
 - Zutaten mit ausgewiesenen Allergenen: WEIZENVOLLKORNMEHL BIO"||||||||||||||||||||||||||||||||||1041|249|8,23 g|3,27 g|42,00 g|1,25 g|0,50 g|7,65 g|1,76 g|3,50|28,57 g|Gluten
101c|*Mohnbrötchen bio halbge.klei|||Stück|0,650|0,000|0,650|0,000||||||||||||||15.07.2020||||70 g|9,286|0,929|WEIZENVOLLKORNMEHL BIO; Wasser; Bio-Realhefe bio; Margarine bio; Salz||||Ø je 100 g:  Energie: 1041 kJ / 249 kcal  /  Fett: 3,3 g  /  davon ges. Fettsäuren: 1,2 g  /  Kohlenhydrate: 42,0 g  /  davon Zucker: 0,5 g  /  Ballaststoffe: 7,6 g  /  Eiweiß: 8,2 g  /  Salz: 1,8 g  /  Broteinheiten (BE): 3,5  /  1 BE entspricht: 29 g||||"Enthaltene Allergene: Glutenhaltige Getreide (Weizen).
 - Zutaten mit ausgewiesenen Allergenen: WEIZENVOLLKORNMEHL BIO"||||||||||||||||||||||||||||||||||1041|249|8,23 g|3,27 g|42,00 g|1,25 g|0,50 g|7,65 g|1,76 g|3,50|28,57 g|Gluten
102|*Sesambrötchen bio|||-|0,650|0,000|0,650|0,000|Weizenvollkornmehl, pflanzl. Margarine, Sesam, Bioreal-Hefe, Meersalz*,||||Sesambrötchen|||||||||15.07.2020||||70 g|9,286|0,929|WEIZENVOLLKORNMEHL BIO; Wasser; Bio-Realhefe bio; Margarine bio; Salz||||Ø je 100 g:  Energie: 1041 kJ / 249 kcal  /  Fett: 3,3 g  /  davon ges. Fettsäuren: 1,2 g  /  Kohlenhydrate: 42,0 g  /  davon Zucker: 0,5 g  /  Ballaststoffe: 7,6 g  /  Eiweiß: 8,2 g  /  Salz: 1,8 g  /  Broteinheiten (BE): 3,5  /  1 BE entspricht: 29 g||||"Enthaltene Allergene: Glutenhaltige Getreide (Weizen).
 - Zutaten mit ausgewiesenen Allergenen: WEIZENVOLLKORNMEHL BIO"||||||||||||||||||||||||||||||||||1041|249|8,23 g|3,27 g|42,00 g|1,25 g|0,50 g|7,65 g|1,76 g|3,50|28,57 g|Gluten
102b|*Sesambrötchen bio halbgeb.|||Stück|0,650|0,000|0,650|0,000||||||||||||||15.07.2020||||70 g|9,286|0,929|WEIZENVOLLKORNMEHL BIO; Wasser; Bio-Realhefe bio; Margarine bio; Salz||||Ø je 100 g:  Energie: 1041 kJ / 249 kcal  /  Fett: 3,3 g  /  davon ges. Fettsäuren: 1,2 g  /  Kohlenhydrate: 42,0 g  /  davon Zucker: 0,5 g  /  Ballaststoffe: 7,6 g  /  Eiweiß: 8,2 g  /  Salz: 1,8 g  /  Broteinheiten (BE): 3,5  /  1 BE entspricht: 29 g||||"Enthaltene Allergene: Glutenhaltige Getreide (Weizen).
 - Zutaten mit ausgewiesenen Allergenen: WEIZENVOLLKORNMEHL BIO"||||||||||||||||||||||||||||||||||1041|249|8,23 g|3,27 g|42,00 g|1,25 g|0,50 g|7,65 g|1,76 g|3,50|28,57 g|Gluten
102c|*Sesambröt bio halbgeb. kleim|||Stück|0,650|0,000|0,650|0,000||||||||||||||15.07.2020||||70 g|9,286|0,929|WEIZENVOLLKORNMEHL BIO; Wasser; Bio-Realhefe bio; Margarine bio; Salz||||Ø je 100 g:  Energie: 1041 kJ / 249 kcal  /  Fett: 3,3 g  /  davon ges. Fettsäuren: 1,2 g  /  Kohlenhydrate: 42,0 g  /  davon Zucker: 0,5 g  /  Ballaststoffe: 7,6 g  /  Eiweiß: 8,2 g  /  Salz: 1,8 g  /  Broteinheiten (BE): 3,5  /  1 BE entspricht: 29 g||||"Enthaltene Allergene: Glutenhaltige Getreide (Weizen).
 - Zutaten mit ausgewiesenen Allergenen: WEIZENVOLLKORNMEHL BIO"||||||||||||||||||||||||||||||||||1041|249|8,23 g|3,27 g|42,00 g|1,25 g|0,50 g|7,65 g|1,76 g|3,50|28,57 g|Gluten
103|*Sonnenblumenbrötchen bio|||Stück|0,650|0,000|0,650|0,000|Weizenvolkornlmehl, pflanzl. Margarine ,Bioreal- Hefe, Meersalz*, Sonnenblumenkerne||||Sonnenblumenbrötchen|||||||||15.07.2020||||70 g|9,286|0,929|WEIZENVOLLKORNMEHL BIO; Wasser; Bio-Realhefe bio; Margarine bio; Salz||||Ø je 100 g:  Energie: 1041 kJ / 249 kcal  /  Fett: 3,3 g  /  davon ges. Fettsäuren: 1,2 g  /  Kohlenhydrate: 42,0 g  /  davon Zucker: 0,5 g  /  Ballaststoffe: 7,6 g  /  Eiweiß: 8,2 g  /  Salz: 1,8 g  /  Broteinheiten (BE): 3,5  /  1 BE entspricht: 29 g||||"Enthaltene Allergene: Glutenhaltige Getreide (Weizen).
 - Zutaten mit ausgewiesenen Allergenen: WEIZENVOLLKORNMEHL BIO"||||||||||||||||||||||||||||||||||1041|249|8,23 g|3,27 g|42,00 g|1,25 g|0,50 g|7,65 g|1,76 g|3,50|28,57 g|Gluten
103b|*SB-Brötchen bio halbgeb.|||Stück|0,650|0,000|0,650|0,000||||||||||||||15.07.2020||||70 g|9,286|0,929|WEIZENVOLLKORNMEHL BIO; Wasser; Bio-Realhefe bio; Margarine bio; Salz||||Ø je 100 g:  Energie: 1041 kJ / 249 kcal  /  Fett: 3,3 g  /  davon ges. Fettsäuren: 1,2 g  /  Kohlenhydrate: 42,0 g  /  davon Zucker: 0,5 g  /  Ballaststoffe: 7,6 g  /  Eiweiß: 8,2 g  /  Salz: 1,8 g  /  Broteinheiten (BE): 3,5  /  1 BE entspricht: 29 g||||"Enthaltene Allergene: Glutenhaltige Getreide (Weizen).
 - Zutaten mit ausgewiesenen Allergenen: WEIZENVOLLKORNMEHL BIO"||||||||||||||||||||||||||||||||||1041|249|8,23 g|3,27 g|42,00 g|1,25 g|0,50 g|7,65 g|1,76 g|3,50|28,57 g|Gluten
103c|*SB-Bröt bio halbgeb.kl|||Stück|0,650|0,000|0,650|0,000||||||||||||||15.07.2020||||70 g|9,286|0,929|WEIZENVOLLKORNMEHL BIO; Wasser; Bio-Realhefe bio; Margarine bio; Salz||||Ø je 100 g:  Energie: 1041 kJ / 249 kcal  /  Fett: 3,3 g  /  davon ges. Fettsäuren: 1,2 g  /  Kohlenhydrate: 42,0 g  /  davon Zucker: 0,5 g  /  Ballaststoffe: 7,6 g  /  Eiweiß: 8,2 g  /  Salz: 1,8 g  /  Broteinheiten (BE): 3,5  /  1 BE entspricht: 29 g||||"Enthaltene Allergene: Glutenhaltige Getreide (Weizen).
 - Zutaten mit ausgewiesenen Allergenen: WEIZENVOLLKORNMEHL BIO"||||||||||||||||||||||||||||||||||1041|249|8,23 g|3,27 g|42,00 g|1,25 g|0,50 g|7,65 g|1,76 g|3,50|28,57 g|Gluten
104|*Haferbrötchen bio|||Stück|0,650|0,000|0,650|0,000|Weizenvolkornlmehl, pflanzl. Margarine, Bioreal-Hefe, Meersalz*, Haferflocken||||Haferbrötchen|||||||||15.07.2020||||70 g|9,286|0,929|WEIZENVOLLKORNMEHL BIO; Wasser; Bio-Realhefe bio; Margarine bio; Salz||||Ø je 100 g:  Energie: 1041 kJ / 249 kcal  /  Fett: 3,3 g  /  davon ges. Fettsäuren: 1,2 g  /  Kohlenhydrate: 42,0 g  /  davon Zucker: 0,5 g  /  Ballaststoffe: 7,6 g  /  Eiweiß: 8,2 g  /  Salz: 1,8 g  /  Broteinheiten (BE): 3,5  /  1 BE entspricht: 29 g||||"Enthaltene Allergene: Glutenhaltige Getreide (Weizen).
 - Zutaten mit ausgewiesenen Allergenen: WEIZENVOLLKORNMEHL BIO"||||||||||||||||||||||||||||||||||1041|249|8,23 g|3,27 g|42,00 g|1,25 g|0,50 g|7,65 g|1,76 g|3,50|28,57 g|Gluten
104b|*Haferbrötchen bio halbgeb.|||Stück|0,650|0,000|0,650|0,000||||||||||||||15.07.2020||||70 g|9,286|0,929|WEIZENVOLLKORNMEHL BIO; Wasser; Bio-Realhefe bio; Margarine bio; Salz||||Ø je 100 g:  Energie: 1041 kJ / 249 kcal  /  Fett: 3,3 g  /  davon ges. Fettsäuren: 1,2 g  /  Kohlenhydrate: 42,0 g  /  davon Zucker: 0,5 g  /  Ballaststoffe: 7,6 g  /  Eiweiß: 8,2 g  /  Salz: 1,8 g  /  Broteinheiten (BE): 3,5  /  1 BE entspricht: 29 g||||"Enthaltene Allergene: Glutenhaltige Getreide (Weizen).
 - Zutaten mit ausgewiesenen Allergenen: WEIZENVOLLKORNMEHL BIO"||||||||||||||||||||||||||||||||||1041|249|8,23 g|3,27 g|42,00 g|1,25 g|0,50 g|7,65 g|1,76 g|3,50|28,57 g|Gluten
104c|*Haferbrötchen bio halb. kle|||Stück|0,650|0,000|0,650|0,000||||||||||||||15.07.2020||||70 g|9,286|0,929|WEIZENVOLLKORNMEHL BIO; Wasser; Bio-Realhefe bio; Margarine bio; Salz||||Ø je 100 g:  Energie: 1041 kJ / 249 kcal  /  Fett: 3,3 g  /  davon ges. Fettsäuren: 1,2 g  /  Kohlenhydrate: 42,0 g  /  davon Zucker: 0,5 g  /  Ballaststoffe: 7,6 g  /  Eiweiß: 8,2 g  /  Salz: 1,8 g  /  Broteinheiten (BE): 3,5  /  1 BE entspricht: 29 g||||"Enthaltene Allergene: Glutenhaltige Getreide (Weizen).
 - Zutaten mit ausgewiesenen Allergenen: WEIZENVOLLKORNMEHL BIO"||||||||||||||||||||||||||||||||||1041|249|8,23 g|3,27 g|42,00 g|1,25 g|0,50 g|7,65 g|1,76 g|3,50|28,57 g|Gluten
105|*Körnerbrötchen bio|||Stück|0,650|0,000|0,650|0,000|Weizenvollkornmehl, pflanzl. Margarine, Bioreal-Hefe, Meersalz*, Haferflocken, Leinsaat, SB-Kerne, Hirse, Sesamsaat||||Körnerbrötchen|||||||||15.07.2020||||70 g|9,286|0,929|WEIZENVOLLKORNMEHL BIO; Wasser; Bio-Realhefe bio; Margarine bio; Salz||||Ø je 100 g:  Energie: 1041 kJ / 249 kcal  /  Fett: 3,3 g  /  davon ges. Fettsäuren: 1,2 g  /  Kohlenhydrate: 42,0 g  /  davon Zucker: 0,5 g  /  Ballaststoffe: 7,6 g  /  Eiweiß: 8,2 g  /  Salz: 1,8 g  /  Broteinheiten (BE): 3,5  /  1 BE entspricht: 29 g||||"Enthaltene Allergene: Glutenhaltige Getreide (Weizen).
 - Zutaten mit ausgewiesenen Allergenen: WEIZENVOLLKORNMEHL BIO"||||||||||||||||||||||||||||||||||1041|249|8,23 g|3,27 g|42,00 g|1,25 g|0,50 g|7,65 g|1,76 g|3,50|28,57 g|Gluten
105b|*Körnerbrötchen bio halbgeb.|||Stück|0,650|0,000|0,650|0,000||||||||||||||15.07.2020||||70 g|9,286|0,929|WEIZENVOLLKORNMEHL BIO; Wasser; Bio-Realhefe bio; Margarine bio; Salz||||Ø je 100 g:  Energie: 1041 kJ / 249 kcal  /  Fett: 3,3 g  /  davon ges. Fettsäuren: 1,2 g  /  Kohlenhydrate: 42,0 g  /  davon Zucker: 0,5 g  /  Ballaststoffe: 7,6 g  /  Eiweiß: 8,2 g  /  Salz: 1,8 g  /  Broteinheiten (BE): 3,5  /  1 BE entspricht: 29 g||||"Enthaltene Allergene: Glutenhaltige Getreide (Weizen).
 - Zutaten mit ausgewiesenen Allergenen: WEIZENVOLLKORNMEHL BIO"||||||||||||||||||||||||||||||||||1041|249|8,23 g|3,27 g|42,00 g|1,25 g|0,50 g|7,65 g|1,76 g|3,50|28,57 g|Gluten
105c|*Körnerbrötchen bio halbg. kl|||Stück|0,650|0,000|0,650|0,000||||||||||||||15.07.2020||||70 g|9,286|0,929|WEIZENVOLLKORNMEHL BIO; Wasser; Bio-Realhefe bio; Margarine bio; Salz||||Ø je 100 g:  Energie: 1041 kJ / 249 kcal  /  Fett: 3,3 g  /  davon ges. Fettsäuren: 1,2 g  /  Kohlenhydrate: 42,0 g  /  davon Zucker: 0,5 g  /  Ballaststoffe: 7,6 g  /  Eiweiß: 8,2 g  /  Salz: 1,8 g  /  Broteinheiten (BE): 3,5  /  1 BE entspricht: 29 g||||"Enthaltene Allergene: Glutenhaltige Getreide (Weizen).
 - Zutaten mit ausgewiesenen Allergenen: WEIZENVOLLKORNMEHL BIO"||||||||||||||||||||||||||||||||||1041|249|8,23 g|3,27 g|42,00 g|1,25 g|0,50 g|7,65 g|1,76 g|3,50|28,57 g|Gluten
106|Sonnenblumen-Brot 1000g|||Stück|3,800|0,000|3,800|0,000||||||||||||||15.07.2020||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
106x|SB- Sonnenblumen-Brot 10|||Stück|3,800|0,000|3,800|0,000||||||||||||||15.07.2020||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
107|Oldesloher    1250g|||Stück|3,800|0,000|3,800|0,000||||||||||||||15.07.2020||||1250 g|3,040|0,304|ROGGEN GEQUETSCHT BIO; Wasser; SAUERTEIG ROGGENSCHROT BIO (ROGGENSCHROT bio, Wasser); Bio-Realhefe bio; Salz||||Ø je 100 g:  Energie: 639 kJ / 153 kcal  /  Fett: 0,8 g  /  davon ges. Fettsäuren: 0,2 g  /  Kohlenhydrate: 31,0 g  /  davon Zucker: 1,8 g  /  Ballaststoffe: 6,9 g  /  Eiweiß: 4,7 g  /  Salz: 1,3 g  /  Broteinheiten (BE): 2,6  /  1 BE entspricht: 39 g||||"Enthaltene Allergene: Glutenhaltige Getreide (Roggen).
 - Zutaten mit ausgewiesenen Allergenen: ROGGEN GEQUETSCHT BIO, SAUERTEIG ROGGENSCHROT BIO"||||||||||||||||||||||||||||||||||639|153|4,67 g|0,79 g|31,04 g|0,16 g|1,81 g|6,92 g|1,26 g|2,59|38,66 g|Gluten
107a|Oldesloher-Meterbrot 1500g|||Stück|5,100|0,000|5,100|0,000||||||||||||||15.07.2020|||||||||||||||||||||||||||||||||||||||||||||||||0|0||||||||0,00|0,00 g|Gluten
107x|SB von Oldesloher    1000g|||Stück|3,800|0,000|3,800|0,000||||||||||||||15.07.2020||||1250 g|3,040|0,304|ROGGEN GEQUETSCHT BIO; Wasser; SAUERTEIG ROGGENSCHROT BIO (ROGGENSCHROT bio, Wasser); Bio-Realhefe bio; Salz||||Ø je 100 g:  Energie: 639 kJ / 153 kcal  /  Fett: 0,8 g  /  davon ges. Fettsäuren: 0,2 g  /  Kohlenhydrate: 31,0 g  /  davon Zucker: 1,8 g  /  Ballaststoffe: 6,9 g  /  Eiweiß: 4,7 g  /  Salz: 1,3 g  /  Broteinheiten (BE): 2,6  /  1 BE entspricht: 39 g||||"Enthaltene Allergene: Glutenhaltige Getreide (Roggen).
 - Zutaten mit ausgewiesenen Allergenen: ROGGEN GEQUETSCHT BIO, SAUERTEIG ROGGENSCHROT BIO"||||||||||||||||||||||||||||||||||639|153|4,67 g|0,79 g|31,04 g|0,16 g|1,81 g|6,92 g|1,26 g|2,59|38,66 g|Gluten
108|Mehrkorn         1500g|||Stück|4,350|0,000|4,350|0,000||||||||||||||15.07.2020||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
108x|SB Mehrkorn 1500g|||Stück|4,350|0,000|4,350|0,000||||||||||||||15.07.2020||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
109|Vierkorn         1500g|||Stück|4,350|0,000|4,350|0,000||||||||||||||15.07.2020||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
109a|Vierkorn-Meterbrot 1500g|||Stück|5,450|0,000|5,450|0,000||||||||||||||15.07.2020||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
109x|SB- Vierkorn 1500|||Stück|4,350|0,000|4,350|0,000||||||||||||||15.07.2020||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
110|*franz.Baguette-Bio 350g|||Stück|2,750|0,000|2,750|0,000||||||||||||||15.07.2020||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
111|Mohnweiß          500g|||Stück|2,700|0,000|2,700|0,000||||||||||||||15.07.2020||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
111x|SB - Mohnweiß          50|||Stück|2,700|0,000|2,700|0,000||||||||||||||15.07.2020||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
112|Bauernweiß        500g|||Stück|2,700|0,000|2,700|0,000||||||||||||||15.07.2020||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
112x|SB- Bauernweiß        50|||Stück|2,700|0,000|2,700|0,000||||||||||||||15.07.2020||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
113|Miniweiß   Kasten       500g|||Stück|2,700|0,000|2,700|0,000||||||||||||||15.07.2020||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
113x|SB- Miniweiß   Kasten|||Stück|2,700|0,000|2,700|0,000||||||||||||||15.07.2020||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
114|Toastbrot         500g|||Stück|2,700|0,000|2,700|0,000||||||||||||||15.07.2020||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
115|Weißbrot (rund)  850g|||Stück|3,600|0,000|3,600|0,000||||||||||||||15.07.2020||||850 g|4,235|0,424||||||||||||||||||||||||||||||||||||||||||||||||||||||
115x|SB- Weißbrot (rund)  100|||Stück|3,800|0,000|3,800|0,000||||||||||||||15.07.2020||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
116|Weißbrot (Kasten) 850g|||Stück|3,600|0,000|3,600|0,000||||||||||||||15.07.2020||||850 g|4,235|0,424||||||||||||||||||||||||||||||||||||||||||||||||||||||
116x|SB-Weißbrot (Kast.)1000|||Stück|3,800|0,000|3,800|0,000||||||||||||||15.07.2020||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
117|Rosinenbrot       750g|||Stück|3,800|0,000|3,800|0,000||||||||||||||15.07.2020||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
117a| Rosinenbrot 1000g|||Stück|4,700|0,000|4,700|0,000||||||||||||||15.07.2020||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
117x|SB- Rosinenbrot  750g|||Stück|3,800|0,000|3,800|0,000||||||||||||||15.07.2020||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
118|Mischbrot-Kasten 1000g|||Stück|3,800|0,000|3,800|0,000||||||||||||||15.07.2020||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
118x|SB- Mischbrot-Kasten 1000|||Stück|3,800|0,000|3,800|0,000||||||||||||||15.07.2020||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
119|Rosinenbrot (klein)|||Stück|3,150|0,000|3,150|0,000||||||||||||||15.07.2020||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
120|Mischbrot (rund) 850g|||Stück|3,600|0,000|3,600|0,000||||||||||||||15.07.2020||||850 g|4,235|0,424||||||||||||||||||||||||||||||||||||||||||||||||||||||
120x|SB- Mischbrot (rd) 1000g|||Stück|3,800|0,000|3,800|0,000||||||||||||||15.07.2020||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
121|Mischbrot (mehlig) 850g|||Stück|3,600|0,000|3,600|0,000||||||||||||||15.07.2020||||850 g|4,235|0,424||||||||||||||||||||||||||||||||||||||||||||||||||||||
122|Krustenbrot       750g|||Stück|3,150|0,000|3,150|0,000||||||||||||||15.07.2020||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
123|Weltmeisterbrot 750g|||Stück|3,600|0,000|3,600|0,000||||||||||||||15.07.2020||||750 g|4,800|0,480||||||||||||||||||||||||||||||||||||||||||||||||||||||
